rawg_id,name,released,metacritic_x,ratings_count,added,platforms,developers,publishers,genres,stores
25097,The Legend of Zelda: Ocarina of Time,11/21/1998,99,860,1834,"Nintendo Switch, Nintendo 64",Nintendo,Nintendo,"Action, Adventure, RPG",Nintendo Store
407559,Soulcalibur (1998),7/30/1998,98,0,2,"Dreamcast, Xbox 360",,"Bandai Namco Entertainment, Namco",Fighting,
54751,Soulcalibur,7/30/1998,98,84,297,"Xbox One, iOS, Xbox 360, Android, Dreamcast","BANDAI NAMCO Entertainment America, NAMCO, Project Soul","Bandai Namco Entertainment, Namco","Action, Fighting",Xbox 360 Store
324997,Baldur's Gate III,8/3/2023,97,912,4429,"macOS, PC, Xbox Series S/X, PlayStation 5",Larian Studios,Larian Studios,"Adventure, RPG, Strategy","PlayStation Store, GOG, Steam"
56123,Metroid Prime,11/17/2002,97,253,638,"Wii, GameCube",Retro Studios,Nintendo,"Action, Shooter, Adventure",
28495,Perfect Dark,5/22/2000,97,175,1038,"Xbox 360, Nintendo 64","Rare, 4J Studios","Microsoft Studios, Rare","Action, Shooter","Xbox Store, Xbox 360 Store"
28026,Super Mario Odyssey,10/27/2017,97,1900,3821,Nintendo Switch,Nintendo,Nintendo,"Arcade, Platformer",Nintendo Store
27036,Super Mario Galaxy 2,5/23/2010,97,418,986,"Wii, Wii U",Nintendo,Nintendo,Platformer,Nintendo Store
27024,Super Mario Galaxy,11/1/2007,97,769,1597,Wii,Nintendo,Nintendo,Platformer,Nintendo Store
